	Name	Brand	Price	Old Price	Url	Category	Family	Section
6122	Bare Access Flex W	Merrell 	81.50 €	110.00 €	/merrell-bare-access-flex-w/p-90556?idvariedad=370128&opt=d	Calzado	Zapatillas Trail Running	Mujer
6123	Speedcross 4 W	Salomon 	94.82 €	129.90 €	/salomon-speedcross-4-w/p-84864?idvariedad=340798&opt=d	Calzado	Zapatillas Trail Running	Mujer
6124	Sonic Ra W	Salomon 	125.91 €	139.90 €	/salomon-sonic-ra-w/p-79313?idvariedad=316541&opt=d	Calzado	Zapatillas Trail Running	Mujer
6125	Xa Elevate GTX W	Salomon 	102.80 €	154.90 €	/salomon-xa-elevate-gtx-w/p-79351?idvariedad=316021&opt=d	Calzado	Zapatillas Trail Running	Mujer
6126	Feline GTX W	Dynafit 	111.38 €	165.00 €	/dynafit-feline-gtx-w/p-65589?idvariedad=268375&opt=d	Calzado	Zapatillas Trail Running	Mujer
6127	Xa Pro 3D W	Salomon 	94.55 €	129.99 €	/salomon-xa-pro-3d-w/p-71851?idvariedad=306467&opt=d	Calzado	Zapatillas Trail Running	Mujer
6128	Sonic Ra Max W	Salomon 	125.91 €	139.90 €	/salomon-sonic-ra-max-w/p-102735?idvariedad=409200&opt=d	Calzado	Zapatillas Trail Running	Mujer
6129	Sonic Ra Max W	Salomon 	125.91 €	139.90 €	/salomon-sonic-ra-max-w/p-79422?idvariedad=316143&opt=d	Calzado	Zapatillas Trail Running	Mujer
6130	Sense Escape W	Salomon 	71.61 €	109.90 €	/salomon-sense-escape-w/p-79361?idvariedad=316040&opt=d	Calzado	Zapatillas Trail Running	Mujer
6131	Sonic Ra Pro W	Salomon 	125.91 €	139.90 €	/salomon-sonic-ra-pro-w/p-79295?idvariedad=315932&opt=d	Calzado	Zapatillas Trail Running	Mujer
6132	Speedcross 4 Cs W	Salomon 	94.13 €	144.90 €	/salomon-speedcross-4-cs-w/p-93147?idvariedad=378617&opt=d	Calzado	Zapatillas Trail Running	Mujer
6133	Speedcross Vario 2 W	Salomon 	83.85 €	114.90 €	/salomon-speedcross-vario-2-w/p-87469?idvariedad=352988&opt=d	Calzado	Zapatillas Trail Running	Mujer
6134	Xa Pro 3D GTX W	Salomon 	94.36 €	144.99 €	/salomon-xa-pro-3d-gtx-w/p-71869?idvariedad=290324&opt=d	Calzado	Zapatillas Trail Running	Mujer
6135	Ultra Train Gtx W	Salewa 	116.40 €	170.00 €	/salewa-ultra-train-gtx-w/p-65231?idvariedad=268989&opt=d	Calzado	Zapatillas Trail Running	Mujer
6136	Sonic Ra Pro W	Salomon 	125.91 €	139.90 €	/salomon-sonic-ra-pro-w/p-79418?idvariedad=316502&opt=d	Calzado	Zapatillas Trail Running	Mujer
6137	Feline Vertical	Dynafit 	121.50 €	135.00 €	/dynafit-feline-vertical/p-65569?idvariedad=264537&opt=d	Calzado	Zapatillas Trail Running	Mujer
6138	Wings Pro 3 W	Salomon 	91.24 €	139.90 €	/salomon-wings-pro-3-w/p-79343?idvariedad=317038&opt=d	Calzado	Zapatillas Trail Running	Mujer
6139	Speedcross 4 GTX W	Salomon 	118.04 €	159.90 €	/salomon-speedcross-4-gtx-w/p-81702?idvariedad=327282&opt=d	Calzado	Zapatillas Trail Running	Mujer
6140	Xa Lite GTX W	Salomon 	125.91 €	139.90 €	/salomon-xa-lite-gtx-w/p-81700?idvariedad=327038&opt=d	Calzado	Zapatillas Trail Running	Mujer
6141	Helios 2.0 W	La Sportiva 	103.90 €	129.99 €	/la-sportiva-helios-2.0-w/p-60549?idvariedad=245056&opt=d	Calzado	Zapatillas Trail Running	Mujer
6142	Speedcross 4 GTX W	Salomon 	143.99 €	159.99 €	/salomon-speedcross-4-gtx-w/p-71839?idvariedad=290199&opt=d	Calzado	Zapatillas Trail Running	Mujer
6143	Yaru GTX W	Montura 	165.00 €	165.00 €	/montura-yaru-gtx-w/p-80729?idvariedad=322691&opt=d	Calzado	Zapatillas Aproximación	Mujer
6144	Boulder X W	La Sportiva 	125.90 €	139.90 €	/la-sportiva-boulder-x-w/p-64038?idvariedad=255039&opt=d	Calzado	Zapatillas Aproximación	Mujer
6145	TX2 Leather W	La Sportiva 	125.90 €	139.90 €	/la-sportiva-tx2-leather-w/p-78771?idvariedad=313664&opt=d	Calzado	Zapatillas Aproximación	Mujer
6146	Rocker Leather GT W	Haglöfs 	155.00 €	155.00 €	/haglofs-rocker-leather-gt-w/p-63110?idvariedad=250230&opt=d	Calzado	Zapatillas Aproximación	Mujer
6147	Konseal FL W	Arc'teryx 	154.90 €	154.90 €	/arcteryx-konseal-fl-w/p-80664?idvariedad=322430&opt=d	Calzado	Zapatillas Aproximación	Mujer
6148	Konseal FL W	Arc'teryx 	154.90 €	154.90 €	/arcteryx-konseal-fl-w/p-80680?idvariedad=322471&opt=d	Calzado	Zapatillas Aproximación	Mujer
6149	Rockway W	Millet 	80.20 €	139.90 €	/millet-rockway-w/p-72419?idvariedad=292938&opt=d	Calzado	Zapatillas Aproximación	Mujer
6150	TX2 W	La Sportiva 	125.91 €	139.90 €	/la-sportiva-tx2-w/p-79199?idvariedad=315382&opt=d	Calzado	Zapatillas Aproximación	Mujer
6151	Acrux FL W	Arc'teryx 	180.00 €	180.00 €	/arcteryx-acrux-fl-w/p-47711?idvariedad=187062&opt=d	Calzado	Zapatillas Aproximación	Mujer
6152	X Alp Spry GTX W	Salomon 	104.45 €	149.90 €	/salomon-x-alp-spry-gtx-w/p-79407?idvariedad=316118&opt=d	Calzado	Zapatillas Aproximación	Mujer
6153	TX2 Leather W	La Sportiva 	125.91 €	139.90 €	/la-sportiva-tx2-leather-w/p-79189?idvariedad=315260&opt=d	Calzado	Zapatillas Aproximación	Mujer
